frame,speed_px_s,speed_kmh,speed_mph,center_x,center_y
422,0.0,0.0,0.0,251.0,1007.0
423,0.0,0.0,0.0,251.0,1007.0
424,0.0,0.0,0.0,251.0,1007.0
425,0.0,0.0,0.0,251.0,1007.0
426,0.0,0.0,0.0,251.0,1007.0
427,0.0,0.0,0.0,251.0,1007.0
428,0.0,0.0,0.0,251.0,1007.0
429,0.0,0.0,0.0,251.0,1007.0
430,0.0,0.0,0.0,251.0,1007.0
431,0.0,0.0,0.0,251.0,1007.0
432,0.0,0.0,0.0,251.0,1007.0
433,0.0,0.0,0.0,251.0,1007.0
434,0.0,0.0,0.0,251.0,1007.0
435,0.0,0.0,0.0,251.0,1007.0
436,0.0,0.0,0.0,251.0,1007.0
437,0.0,0.0,0.0,251.0,1007.0
438,0.0,0.0,0.0,251.0,1007.0
439,0.0,0.0,0.0,251.0,1007.0
440,0.0,0.0,0.0,251.0,1007.0
441,0.0,0.0,0.0,251.0,1007.0
442,0.0,0.0,0.0,251.0,1007.0
443,0.0,0.0,0.0,251.0,1007.0
444,0.0,0.0,0.0,251.0,1007.0
445,0.0,0.0,0.0,251.0,1007.0
446,0.0,0.0,0.0,251.0,1007.0
447,0.0,0.0,0.0,251.0,1007.0
448,0.0,0.0,0.0,251.0,1007.0
449,0.0,0.0,0.0,251.0,1007.0
450,0.0,0.0,0.0,251.0,1007.0
451,0.0,0.0,0.0,251.0,1007.0
452,0.0,0.0,0.0,251.0,1007.0
453,0.0,0.0,0.0,251.0,1007.0
454,0.0,0.0,0.0,251.0,1007.0
455,0.0,0.0,0.0,251.0,1007.0
456,0.0,0.0,0.0,251.0,1007.0
457,0.0,0.0,0.0,251.0,1007.0
458,0.0,0.0,0.0,251.0,1007.0
459,0.0,0.0,0.0,251.0,1007.0
460,0.0,0.0,0.0,251.0,1007.0
461,0.0,0.0,0.0,251.0,1007.0
462,0.0,0.0,0.0,251.0,1007.0
463,0.0,0.0,0.0,251.0,1007.0
464,0.0,0.0,0.0,251.0,1007.0
465,0.0,0.0,0.0,251.0,1007.0
466,0.0,0.0,0.0,251.0,1007.0
467,0.0,0.0,0.0,251.0,1007.0
468,0.0,0.0,0.0,251.0,1007.0
469,0.0,0.0,0.0,251.0,1007.0
470,0.0,0.0,0.0,251.0,1007.0
471,0.0,0.0,0.0,251.0,1007.0
472,0.0,0.0,0.0,251.0,1007.0
473,0.0,0.0,0.0,251.0,1007.0
